id,size,storage,complexity,codec,level,compress,decompress,dc_no_cache,ratio
463,mid,ephemeral,bitcoin,tables_blosc_blosclz,7,0.4657451311747233,0.00968464215596517,0.03374195098876953,1.5398713327725484
464,small,esb,bitcoin,tables_blosc_lz4,5,0.048685216903686525,0.0022731781005859374,0.007622528076171875,1.4028054074663705
465,small,esb,bitcoin,bloscpack_lz4hc,5,0.0542182445526123,0.0007325649261474609,0.004645490646362304,1.5128805553030664
466,mid,esb,poisson,zfile,1,0.1357563336690267,0.02428913116455078,0.03619956970214844,8.055360940054328
467,mid,esb,arange,tables_blosc_zlib,3,0.06238778432210287,0.015169302622477213,0.027011632919311523,98.46523682530143
468,small,esb,neuronal,tables_blosc_snappy,1,0.04777121543884277,0.0025320529937744142,0.007629823684692383,1.7472160708900075
469,small,esb,linspace,tables_blosc_blosclz,1,0.03924670219421387,0.0020512104034423827,0.006359577178955078,10.702157627222437
470,large,ephemeral,bitcoin,bloscpack_blosclz,9,0.7675815423329672,0.14824573198954263,0.3754420280456543,1.3774232715247674
471,small,ephemeral,bitcoin,tables_blosc_lz4hc,3,0.051456451416015625,0.002239561080932617,0.008321332931518554,1.4588071620361998
472,large,ephemeral,bitcoin,tables_blosc_snappy,3,0.6560005346934,0.16766603787740073,0.3440764745076497,1.2774895116697367
473,small,ephemeral,arange,tables,0,0.03779478073120117,0.0015665531158447266,0.008929252624511719,0.9964118469865596
474,mid,esb,poisson,tables_zlib,5,0.1782519817352295,0.03421799341837565,0.046665032704671226,15.249308486348605
475,small,esb,linspace,tables_blosc_lz4,7,0.03788738250732422,0.0018839359283447266,0.006152915954589844,12.729917082468344
476,large,ephemeral,arange,tables_blosc_snappy,9,0.1583106517791748,0.17591023445129395,0.186233917872111,20.279988612311083
477,large,ephemeral,bitcoin,bloscpack_snappy,1,0.6067546208699545,0.09503706296284993,0.35088857014973956,1.262692572550911
478,small,esb,arange,tables_blosc_snappy,7,0.0384030818939209,0.002067708969116211,0.006208944320678711,17.698082635700782
479,small,esb,linspace,bloscpack_lz4,3,0.028415489196777343,0.0005773067474365235,0.002262401580810547,9.203363350711816
480,small,esb,poisson,tables_blosc_zlib,5,0.04235873222351074,0.004469490051269532,0.00860590934753418,14.5254263114879
481,large,ephemeral,arange,tables_zlib,3,0.43634963035583496,0.28720808029174805,0.296695073445638,140.81517819852897
482,small,esb,bitcoin,bloscpack_blosclz,7,0.036342525482177736,0.00106964111328125,0.0046771526336669925,1.443067310735863
483,large,esb,arange,tables_blosc_lz4hc,3,0.6831897894541422,0.15849932034810385,0.1649616559346517,111.72940534642662
484,small,esb,bitcoin,tables_blosc_snappy,9,0.042246007919311525,0.002611064910888672,0.007914590835571288,1.4090430220807981
485,small,ephemeral,neuronal,tables_blosc_snappy,7,0.03169517517089844,0.0025454044342041017,0.008219432830810548,1.7472160708900075
486,small,ephemeral,poisson,zfile,5,0.04029092788696289,0.002294158935546875,0.003747844696044922,10.410802223987291
487,large,ephemeral,neuronal,tables_blosc_lz4hc,9,18.16688108444214,0.18235174814860025,0.23599608739217123,2.000115363099251
488,small,ephemeral,poisson,tables_lzo,5,0.028377866744995116,0.003743267059326172,0.00792694091796875,9.19658299566735
489,small,ephemeral,arange,tables_lzo,9,0.027952146530151368,0.003300189971923828,0.007222557067871093,69.26780288016911
490,mid,esb,bitcoin,bloscpack_snappy,5,0.11848918596903484,0.004942099253336589,0.026308139165242512,1.4653497502098645
491,large,esb,linspace,npz,1,9.687548478444418,0.7764322757720947,0.88425079981486,1.6109685285808582
492,large,esb,bitcoin,tables_blosc_lz4,7,1.15983247756958,0.18768556912740073,0.5325711568196615,1.3395726535122032
493,large,esb,bitcoin,zfile,1,2.526050647099813,0.6769519646962484,0.8692510922749838,2.4210706775562696
494,mid,ephemeral,bitcoin,bloscpack_snappy,1,0.08292547861735027,0.004990498224894206,0.03374004364013672,1.4543118434400102
495,mid,ephemeral,linspace,tables_blosc_snappy,5,0.05466159184773763,0.008710622787475586,0.020975828170776367,7.622415036404662
496,large,esb,neuronal,tables_zlib,1,2.4064703782399497,0.580528179804484,0.6081985632578532,2.3836003090431492
497,large,ephemeral,bitcoin,tables_zlib,9,25.689845323562622,0.707139809926351,0.7948180834452311,1.6094805516699902
498,mid,ephemeral,neuronal,npz,1,0.9797980785369873,0.052342891693115234,0.06481321652730306,2.388555264565999
499,large,esb,bitcoin,bloscpack_zlib,1,1.406673749287923,0.22714829444885254,0.4424726168314616,1.583466479847776
500,large,ephemeral,poisson,bloscpack_blosclz,1,0.15594482421875,0.07208546002705891,0.08965857823689778,7.412354640723727
501,mid,esb,neuronal,npy,0,0.14001679420471191,0.0018747647603352864,0.036351680755615234,0.999992370663676
502,small,ephemeral,neuronal,tables_lzo,7,0.03545713424682617,0.0029996395111083984,0.007996702194213867,1.9629490961915745
503,small,esb,arange,tables_lzo,5,0.03645291328430176,0.003288602828979492,0.007378339767456055,69.26780288016911
504,mid,esb,linspace,tables_blosc_blosclz,7,0.05629436175028483,0.008299748102823893,0.021805365880330402,11.789740689478377
505,small,ephemeral,poisson,tables_blosc_snappy,5,0.03355550765991211,0.002239084243774414,0.0068263053894042965,6.550815903241123
506,mid,esb,linspace,bloscpack_snappy,9,0.048485120137532554,0.003317594528198242,0.009205341339111328,13.61032258734442
507,small,ephemeral,bitcoin,bloscpack_lz4hc,3,0.03690848350524902,0.0007135391235351563,0.0050524711608886715,1.484673643253897
508,small,esb,neuronal,tables_blosc_lz4hc,5,0.06381549835205078,0.0021285057067871095,0.007666683197021485,1.7634595947279996
509,mid,esb,bitcoin,bloscpack_lz4,1,0.11902125676472981,0.004055976867675781,0.027017593383789062,1.465888718521675
510,mid,esb,bitcoin,tables_blosc_zlib,3,0.30197660128275555,0.05525310834248861,0.07118415832519531,1.6942731577912415
511,small,ephemeral,arange,tables_blosc_snappy,3,0.03260335922241211,0.0020794391632080076,0.006493854522705078,17.698082635700782
512,mid,esb,bitcoin,bloscpack_lz4hc,3,0.15681282679239908,0.004184722900390625,0.025841633478800457,1.5381839508262758
513,mid,ephemeral,linspace,bloscpack_lz4,3,0.04271539052327474,0.002856095631917318,0.010283152262369791,7.034382454831603
514,mid,esb,arange,npz,1,0.9387091795603434,0.03659701347351074,0.048081556955973305,5.284370232883485
515,mid,ephemeral,neuronal,tables_zlib,1,0.2462757428487142,0.05297319094340006,0.06797250111897786,2.321549748522541
516,large,esb,linspace,bloscpack_snappy,7,0.17467633883158365,0.0801088015238444,0.0890656312306722,11.934835173490447
517,large,ephemeral,bitcoin,tables_blosc_blosclz,9,0.8973042170206705,0.22393059730529785,0.39856696128845215,1.3408466280969857
518,mid,ephemeral,linspace,tables_blosc_snappy,7,0.047715981801350914,0.008364518483479818,0.02116505304972331,11.789316516551631
519,large,esb,linspace,tables_blosc_snappy,1,0.3665282726287842,0.1609816551208496,0.17936491966247559,4.73912563616512
520,mid,esb,bitcoin,tables_blosc_blosclz,1,0.12297471364339192,0.00967844327290853,0.03265070915222168,1.4522975940282417
521,mid,ephemeral,linspace,bloscpack_zlib,7,0.1054545243581136,0.015758832295735676,0.023796478907267254,85.97774661976565
522,small,ephemeral,neuronal,tables_blosc_snappy,5,0.036974525451660155,0.00254058837890625,0.008296966552734375,1.7472160708900075
523,mid,ephemeral,neuronal,tables_blosc_zlib,3,0.31590962409973145,0.038175503412882485,0.05259847640991211,2.5032263855553416
